actor_id,movie_id
18623,56240
18623,56800
92748,106
92748,24234
92748,39224
92748,41107
92749,106
69825,106
9132,109
9132,129
9132,189
9132,475
9132,672
53542,113
92750,115
92750,28636
92750,29880
92751,115
92751,388
92751,34659
41200,118
41200,30698
41200,30699
41200,30703
41200,30719
41200,30731
41200,30740
41200,30745
41200,30794
41200,30834
41200,30868
41200,30903
41200,30953
41200,30974
41200,30981
41200,30988
42147,120
42147,182
42147,339
42147,27841
42147,35726
42147,43346
92752,120
92753,121
92753,25050
92754,123
55803,123
55803,26350
55803,27082
55803,27721
55803,28423
55803,28616
55803,47196
55803,50517
55803,53340
92755,123
92756,124
92756,393
92756,885
92756,1005
92756,1427
92756,3581
92756,3880
44560,124
21955,125
21955,39015
21955,39327
21955,39336
21955,39564
21955,39829
21955,39830
21955,41161
21955,45821
21955,47212
21955,52030
21955,64409
21955,64411
21955,64412
21955,64422
21955,64423
21955,64425
64486,126
64486,132
64486,141
64486,176
64486,39759
64486,39762
64486,40367
64486,40370
64486,66326
92757,127
92757,161
92757,54672
69783,131
69783,146
69783,156
69783,166
69783,177
69783,181
69783,199
69783,211
69783,213
69783,215
69783,285
69783,290
69783,292
69783,294
69783,305
69783,309
69783,311
69783,354
69783,358
69783,363
69783,366
69783,378
69783,379
69783,405
69783,409
69783,410
69783,411
69783,413
69783,414
69783,419
69783,420
69783,421
69783,422
69783,437
69783,448
69783,454
69783,462
69783,476
69783,483
69783,484
69783,489
69783,512
69783,526
69783,530
69783,533
69783,587
69783,620
69783,647
69783,677
69783,693
69783,793
69783,844
69783,853
69783,933
69783,973
69783,986
69783,1313
69783,1408
69783,1423
69783,1582
69783,1601
69783,1750
69783,1796
69783,1839
69783,1873
69783,2051
69783,2072
69783,2190
69783,2234
69783,2358
69783,2365
69783,2376
69783,2568
69783,2666
69783,2694
69783,2713
69783,2802
69783,2808
69783,2858
69783,2860
69783,3039
69783,3043
69783,3065
69783,3164
69783,3381
69783,3384
69783,3424
69783,3583
69783,3649
69783,3797
69783,4009
69783,4094
69783,4203
69783,4325
69783,4389
69783,4577
69783,4802
69783,5351
69783,5484
69783,5717
69783,6267
69783,6505
69783,6609
69783,6633
69783,6878
69783,6912
69783,24325
69783,29182
69783,30640
69783,50748
69783,62536
69783,65177
69783,65224
57896,132
57896,24385
57896,24403
57896,39019
57896,39150
57896,39225
57896,40264
57896,40268
57896,40269
57896,40349
57896,45478
57896,61632
57896,65262
44737,133
44737,665
44737,797
44737,23951
44737,32209
44737,32727
44737,32728
44737,32738
18364,137
18364,275
18364,297
18364,331
18364,351
18364,392
18364,416
18364,434
18364,443
18364,461
18364,468
18364,470
18364,495
18364,520
18364,538
18364,548
18364,549
18364,570
18364,607
18364,648
18364,666
18364,807
18364,830
18364,1084
18364,1174
18364,1262
18364,1293
18364,1415
18364,1425
18364,1449
18364,1511
18364,1600
18364,1649
18364,1688
18364,1736
18364,1784
18364,2081
18364,2586
18364,2817
18364,3146
18364,3388
18364,3602
18364,3782
18364,3849
92758,138
92758,190
92758,766
92758,3284
92758,3524
92758,3563
92758,27575
92758,27576
92758,27837
92758,28107
92758,28166
92758,30594
67987,139
92759,139
59002,140
57802,143
57802,150
57802,164
57802,206
57802,244
57802,276
57802,306
57802,343
57802,516
57802,558
57802,591
57802,674
57802,836
57802,837
57802,1042
92760,148
92760,831
92760,24116
92760,24398
92760,24401
92760,29921
92760,31749
92760,35157
92760,35321
92760,39324
92760,39325
92760,39326
92760,39332
92760,39334
92760,39340
92760,39351
92760,39358
92760,39363
92760,39367
92760,39374
92760,39380
92760,39394
92761,151
92762,151
92763,152
92763,513
92764,153
92764,159
92764,162
92764,269
92764,304
92764,390
92764,481
92764,499
92764,582
92764,704
92764,741
92764,874
92764,57730
92764,57731
92765,155
92765,223
92765,230
92765,279
92765,356
92765,361
92765,442
92765,653
92765,810
92765,30893
92765,31808
92765,37543
92765,38846
92765,38868
6685,157
6685,188
6685,262
6685,286
6685,412
6685,429
6685,521
6685,692
6685,806
6685,826
6685,900
6685,1001
6685,1164
6685,1226
6685,1400
6685,2773
92766,158
92766,173
92766,2284
92767,160
92768,165
92769,167
92770,168
92770,511
92770,28902
92770,28903
92770,29065
92770,29068
92770,29071
92770,29073
92770,29074
92770,29080
92770,29084
92770,29085
92770,29092
92770,29095
92770,29097
92770,64394
92771,169
92771,170
92771,39632
25475,170
25475,191
25475,328
25475,368
25475,397
25475,596
25475,2074
25475,2530
25475,24290
25475,24515
25475,26210
25475,27724
25475,31924
92772,172
92772,28107
92772,28213
92772,28619
92772,29055
92772,43069
92772,51382
77996,172
77996,367
77996,27723
77996,51733
77996,53143
64358,175
64358,30772
64358,30907
64358,30912
64358,30969
64358,65305
92773,180
92773,242
92773,264
92773,268
92773,282
92773,287
92773,293
92773,307
92773,312
92773,315
92773,316
92773,317
92773,342
92773,359
92773,365
92773,369
92773,408
92773,426
92773,457
92773,490
92773,496
92773,509
92773,553
92773,566
92773,635
92773,752
92773,785
92773,801
92773,873
92773,907
92773,940
92773,997
92773,1041
92773,1230
92773,1518
92773,1528
92773,1888
92773,1980
92773,2110
92773,2502
92773,2691
92773,3409
92773,3600
92773,4100
92773,4317
92773,28215
92773,29053
92773,31028
92773,40411
92773,65322
930,180
930,40411
92774,183
60147,184
4529,185
4529,218
4529,222
4529,224
4529,225
4529,236
4529,239
4529,240
4529,251
4529,252
4529,260
4529,266
4529,271
4529,272
4529,277
4529,284
4529,295
4529,296
4529,319
4529,321
4529,322
4529,326
4529,340
4529,341
4529,348
4529,355
4529,357
4529,376
4529,431
4529,440
4529,474
