movie_id,genre
584,comedy
584,drama
585,drama
586,drama
586,horror
586,sci-fi
590,comedy
590,family
590,short
591,comedy
591,romance
593,drama
594,horror
596,fantasy
596,horror
597,adventure
597,sci-fi
598,comedy
598,horror
598,short
600,comedy
600,short
601,drama
602,drama
602,war
603,drama
605,drama
606,drama
607,comedy
607,romance
608,crime
609,action
609,adventure
609,drama
611,drama
613,adventure
613,romance
613,western
614,drama
616,drama
616,romance
617,drama
617,history
618,comedy
619,adventure
619,comedy
619,romance
621,drama
623,fantasy
624,comedy
624,romance
624,short
625,drama
626,comedy
626,romance
626,short
627,comedy
627,drama
628,comedy
628,short
629,drama
629,romance
632,crime
632,drama
632,horror
633,comedy
633,romance
634,comedy
634,western
635,drama
636,drama
637,comedy
638,action
638,adventure
639,drama
639,western
640,drama
641,comedy
641,drama
641,romance
643,comedy
643,family
643,short
644,action
644,adventure
645,adventure
646,mystery
648,adventure
648,drama
648,romance
649,drama
650,adventure
650,drama
650,western
651,drama
652,drama
653,drama
654,drama
654,thriller
655,romance
656,drama
656,romance
657,comedy
657,drama
658,drama
658,romance
659,drama
659,romance
660,adventure
660,drama
661,drama
662,comedy
662,drama
663,comedy
663,short
664,drama
665,comedy
666,comedy
666,drama
666,romance
667,comedy
667,family
667,short
668,comedy
669,drama
669,romance
670,drama
671,drama
672,animation
672,short
673,drama
674,drama
675,drama
676,drama
676,romance
676,war
677,drama
679,drama
680,comedy
680,short
681,horror
682,drama
683,comedy
683,horror
683,short
684,action
684,comedy
684,short
685,drama
686,drama
687,comedy
687,short
688,adventure
688,fantasy
689,adventure
689,fantasy
691,comedy
691,drama
691,family
692,drama
692,fantasy
692,horror
693,drama
694,drama
696,drama
696,short
697,action
698,comedy
698,drama
699,drama
699,fantasy
699,horror
700,comedy
700,short
700,thriller
701,drama
701,history
701,romance
702,crime
702,romance
702,thriller
703,comedy
703,short
703,western
704,drama
705,comedy
705,fantasy
705,short
706,adventure
706,drama
708,adventure
708,drama
709,action
709,drama
710,comedy
711,drama
712,adventure
712,drama
712,romance
714,action
714,adventure
714,family
715,drama
716,action
716,drama
716,romance
718,comedy
721,action
721,sport
721,thriller
722,comedy
723,drama
723,romance
724,comedy
724,short
725,drama
725,romance
725,sport
726,drama
727,drama
728,drama
728,romance
729,drama
730,comedy
730,family
730,short
731,comedy
732,comedy
732,short
733,adventure
733,drama
733,romance
734,comedy
734,romance
735,adventure
735,drama
735,romance
736,crime
736,mystery
736,thriller
737,comedy
737,short
738,drama
738,history
739,drama
740,drama
742,drama
742,thriller
743,drama
744,drama
745,comedy
745,short
745,western
746,drama
748,drama
749,comedy
749,family
750,drama
751,drama
751,romance
753,comedy
754,documentary
754,fantasy
754,history
755,drama
757,western
758,drama
759,drama
760,animation
760,comedy
760,family
761,drama
761,history
761,war
762,drama
763,drama
764,drama
766,drama
766,history
767,drama
767,romance
768,drama
769,comedy
769,short
770,documentary
771,drama
771,history
772,biography
772,drama
772,romance
773,fantasy
773,horror
774,drama
775,action
775,adventure
775,romance
776,comedy
776,horror
776,mystery
777,drama
778,comedy
778,short
779,drama
780,comedy
780,drama
781,drama
781,romance
782,drama
782,romance
783,adventure
783,romance
784,adventure
784,family
784,romance
785,adventure
785,history
786,comedy
786,romance
787,drama
787,fantasy
787,horror
791,action
791,drama
791,romance
792,biography
792,drama
793,drama
794,drama
795,drama
795,short
796,drama
796,romance
797,action
797,adventure
797,comedy
798,drama
798,romance
799,drama
799,family
799,fantasy
800,action
800,comedy
801,drama
803,comedy
803,drama
804,action
804,drama
804,romance
805,drama
806,drama
807,drama
807,history
808,drama
808,romance
809,adventure
809,drama
809,romance
810,drama
811,drama
811,romance
812,adventure
813,drama
814,comedy
814,horror
814,mystery
815,comedy
815,short
816,drama
816,romance
817,comedy
817,romance
818,drama
819,adventure
820,comedy
820,drama
821,drama
821,romance
822,drama
823,adventure
823,romance
823,western
824,comedy
824,fantasy
824,short
825,drama
826,drama
826,romance
827,drama
827,romance
829,drama
830,drama
830,short
832,comedy
832,drama
833,animation
833,comedy
833,drama
835,drama
835,romance
836,drama
837,drama
837,romance
838,adventure
838,drama
838,romance
839,crime
839,drama
840,comedy
841,drama
841,horror
841,romance
842,drama
843,drama
844,history
845,drama
846,drama
847,comedy
847,romance
848,western
849,drama
850,comedy
850,short
851,drama
852,drama
854,action
854,adventure
854,drama
855,comedy
855,romance
855,thriller
856,comedy
856,western
857,comedy
858,drama
859,drama
860,adventure
860,drama
860,romance
861,action
861,comedy
861,thriller
862,drama
862,romance
863,western
864,drama
864,history
864,romance
865,comedy
866,fantasy
866,romance
867,biography
867,drama
867,fantasy
868,comedy
869,western
870,comedy
871,drama
871,western
872,drama
873,drama
875,drama
875,romance
876,animation
876,fantasy
876,short
877,fantasy
877,horror
878,drama
878,romance
879,drama
879,romance
880,adventure
880,comedy
880,family
881,drama
882,drama
882,romance
884,drama
884,romance
885,adventure
885,comedy
885,drama
886,drama
887,short
888,drama
888,family
889,comedy
890,drama
890,history
890,romance
891,short
892,drama
892,romance
893,comedy
894,drama
895,drama
895,short
896,comedy
896,romance
900,drama
900,romance
900,thriller
901,drama
902,drama
903,drama
904,drama
905,history
905,romance
905,western
906,drama
906,romance
908,drama
909,drama
911,comedy
912,comedy
913,drama
914,drama
915,drama
915,romance
916,action
916,comedy
916,romance
917,drama
918,comedy
918,fantasy
918,romance
919,adventure
919,drama
919,fantasy
920,adventure
920,drama
920,fantasy
921,drama
921,romance
922,drama
923,sci-fi
924,comedy
924,romance
925,adventure
925,family
925,fantasy
926,biography
926,drama
927,drama
928,drama
929,comedy
930,drama
931,action
931,comedy
931,romance
932,drama
933,drama
934,adventure
934,drama
935,drama
936,drama
937,adventure
937,family
937,fantasy
938,drama
938,romance
939,comedy
939,romance
940,drama
941,drama
943,comedy
943,drama
944,drama
944,romance
945,comedy
946,adventure
946,animation
946,family
947,drama
947,romance
947,war
948,drama
948,history
948,thriller
949,drama
949,mystery
949,romance
950,drama
951,adventure
951,romance
952,action
952,adventure
952,comedy
953,comedy
953,family
953,romance
954,drama
955,comedy
955,western
956,adventure
956,comedy
956,drama
957,drama
958,drama
958,thriller
958,western
960,drama
961,action
961,comedy
961,drama
962,comedy
962,drama
963,adventure
963,fantasy
963,sci-fi
964,drama
964,romance
965,drama
966,comedy
966,romance
967,comedy
967,crime
967,romance
968,horror
969,adventure
970,drama
970,romance
971,action
971,drama
971,western
972,comedy
972,romance
973,drama
974,crime
974,drama
974,romance
975,crime
975,drama
975,romance
976,comedy
976,drama
976,fantasy
977,comedy
977,sport
978,action
978,adventure
978,drama
979,adventure
979,drama
979,romance
980,action
980,adventure
981,drama
981,romance
982,drama
983,adventure
983,romance
984,comedy
984,romance
985,drama
985,fantasy
985,horror
986,drama
987,drama
988,drama
989,action
989,comedy
989,romance
990,drama
990,romance
990,war
991,drama
992,comedy
993,western
994,action
994,comedy
994,war
995,drama
996,crime
996,drama
996,mystery
997,drama
998,drama
999,drama
999,sci-fi
1000,adventure
1001,drama
1002,documentary
1003,drama
1004,adventure
1004,drama
1004,romance
1005,drama
1005,war
1006,drama
1006,romance
1007,drama
1008,adventure
1008,comedy
1008,romance
1009,drama
1009,horror
1010,comedy
1010,drama
1011,drama
1011,romance
1012,adventure
1012,comedy
1012,romance
1013,comedy
1013,drama
1013,war
1014,drama
1014,war
1015,drama
1016,drama
1017,documentary
1018,drama
1019,comedy
1019,horror
1019,mystery
1020,comedy
1020,crime
1020,drama
1021,comedy
1021,drama
1021,sport
1022,drama
1022,romance
1023,short
1024,drama
1024,romance
1025,western
1026,drama
1028,western
1029,romance
1029,thriller
1030,comedy
1031,comedy
1031,romance
1032,comedy
1033,adventure
1033,crime
1033,drama
1034,comedy
1036,adventure
1036,romance
1037,drama
1037,romance
1038,action
1038,adventure
1038,comedy
1039,horror
1039,thriller
1040,comedy
1040,drama
1041,action
1041,adventure
1041,comedy
1042,drama
1042,war
1043,comedy
1043,romance
1044,drama
1045,adventure
1045,crime
1045,drama
1046,comedy
1046,romance
1047,drama
1047,music
1047,musical
1048,comedy
1048,drama
1048,family
1049,biography
1049,drama
1049,family
1050,action
1050,adventure
1051,drama
1052,comedy
1052,short
1053,comedy
1054,drama
1054,romance
1055,horror
1056,comedy
1057,drama
1057,romance
1058,drama
1059,drama
1059,romance
1060,comedy
